id,folder,name,title,category,file
52,052_chart-rendering-testing,chart-rendering-testing,Chart Rendering Testing,data-ui,052_chart-rendering-testing/SKILL.md
53,053_date-picker-testing,date-picker-testing,Date Picker Testing,forms,053_date-picker-testing/SKILL.md
54,054_timezone-testing,timezone-testing,Timezone-sensitive UI Testing,localization,054_timezone-testing/SKILL.md
55,055_localization-testing,localization-testing,Localization Testing,localization,055_localization-testing/SKILL.md
56,056_rtl-layout-testing,rtl-layout-testing,Right-to-left Layout Testing,localization,056_rtl-layout-testing/SKILL.md
57,057_language-switcher-testing,language-switcher-testing,Language Switcher Testing,localization,057_language-switcher-testing/SKILL.md
58,058_cookie-consent-testing,cookie-consent-testing,Cookie Consent Testing,privacy,058_cookie-consent-testing/SKILL.md
59,059_cookie-storage-testing,cookie-storage-testing,Cookie Storage Testing,privacy,059_cookie-storage-testing/SKILL.md
60,060_local-storage-testing,local-storage-testing,Local Storage Testing,storage,060_local-storage-testing/SKILL.md
61,061_session-storage-testing,session-storage-testing,Session Storage Testing,storage,061_session-storage-testing/SKILL.md
62,062_service-worker-testing,service-worker-testing,Service Worker Testing,pwa,062_service-worker-testing/SKILL.md
63,063_pwa-installability-testing,pwa-installability-testing,PWA Installability Testing,pwa,063_pwa-installability-testing/SKILL.md
64,064_notification-permission-testing,notification-permission-testing,Notification Permission Testing,browser-api,064_notification-permission-testing/SKILL.md
65,065_geolocation-testing,geolocation-testing,Geolocation Testing,browser-api,065_geolocation-testing/SKILL.md
66,066_media-permission-testing,media-permission-testing,Camera and Microphone Permission Testing,browser-api,066_media-permission-testing/SKILL.md
67,067_clipboard-testing,clipboard-testing,Clipboard Interaction Testing,browser-api,067_clipboard-testing/SKILL.md
68,068_popup-window-testing,popup-window-testing,Popup and New Window Testing,navigation,068_popup-window-testing/SKILL.md
69,069_iframe-testing,iframe-testing,Iframe Interaction Testing,embedded,069_iframe-testing/SKILL.md
70,070_shadow-dom-testing,shadow-dom-testing,Shadow DOM Testing,embedded,070_shadow-dom-testing/SKILL.md
71,071_canvas-testing,canvas-testing,Canvas-based UI Testing,embedded,071_canvas-testing/SKILL.md
72,072_contenteditable-testing,contenteditable-testing,Contenteditable Testing,editors,072_contenteditable-testing/SKILL.md
73,073_rich-text-editor-testing,rich-text-editor-testing,Rich Text Editor Testing,editors,073_rich-text-editor-testing/SKILL.md
74,074_markdown-editor-testing,markdown-editor-testing,Markdown Editor Testing,editors,074_markdown-editor-testing/SKILL.md
75,075_code-editor-testing,code-editor-testing,Browser Code Editor Testing,editors,075_code-editor-testing/SKILL.md
76,076_keyboard-shortcut-testing,keyboard-shortcut-testing,Keyboard Shortcut Testing,interaction,076_keyboard-shortcut-testing/SKILL.md
77,077_browser-history-testing,browser-history-testing,Browser History Testing,navigation,077_browser-history-testing/SKILL.md
78,078_deep-link-testing,deep-link-testing,Deep Link Testing,navigation,078_deep-link-testing/SKILL.md
79,079_redirect-testing,redirect-testing,Redirect Testing,navigation,079_redirect-testing/SKILL.md
80,080_query-parameter-testing,query-parameter-testing,Query Parameter Testing,navigation,080_query-parameter-testing/SKILL.md
81,081_metadata-testing,metadata-testing,Page Metadata Testing,seo,081_metadata-testing/SKILL.md
82,082_link-integrity-testing,link-integrity-testing,Link Integrity Testing,seo,082_link-integrity-testing/SKILL.md
83,083_image-loading-testing,image-loading-testing,Image Loading Testing,assets,083_image-loading-testing/SKILL.md
84,084_lazy-loading-testing,lazy-loading-testing,Lazy-loaded Content Testing,assets,084_lazy-loading-testing/SKILL.md
85,085_font-loading-testing,font-loading-testing,Web Font Loading Testing,assets,085_font-loading-testing/SKILL.md
86,086_ssr-rendering-testing,ssr-rendering-testing,Server-side Rendering Testing,rendering,086_ssr-rendering-testing/SKILL.md
87,087_hydration-testing,hydration-testing,Client Hydration Testing,rendering,087_hydration-testing/SKILL.md
88,088_spa-route-transition-testing,spa-route-transition-testing,SPA Route Transition Testing,rendering,088_spa-route-transition-testing/SKILL.md
89,089_animation-testing,animation-testing,Animation and Transition Testing,visual,089_animation-testing/SKILL.md
90,090_theme-switching-testing,theme-switching-testing,Theme Switching Testing,visual,090_theme-switching-testing/SKILL.md
91,091_security-header-testing,security-header-testing,Security Header Testing,security,091_security-header-testing/SKILL.md
92,092_csp-behavior-testing,csp-behavior-testing,Content Security Policy Behavior Testing,security,092_csp-behavior-testing/SKILL.md
93,093_csrf-flow-testing,csrf-flow-testing,CSRF-protected Form Testing,security,093_csrf-flow-testing/SKILL.md
94,094_xss-sanitization-testing,xss-sanitization-testing,Output Sanitization Testing,security,094_xss-sanitization-testing/SKILL.md
95,095_rate-limit-ui-testing,rate-limit-ui-testing,Rate-limit UI Testing,security,095_rate-limit-ui-testing/SKILL.md
96,096_multi-user-testing,multi-user-testing,Multi-user Interaction Testing,collaboration,096_multi-user-testing/SKILL.md
97,097_real-time-collaboration-testing,real-time-collaboration-testing,Real-time Collaboration Testing,collaboration,097_real-time-collaboration-testing/SKILL.md
98,098_data-persistence-testing,data-persistence-testing,Data Persistence Testing,state,098_data-persistence-testing/SKILL.md
99,099_test-fixture-testing,test-fixture-testing,Deterministic Test Fixture Management,infrastructure,099_test-fixture-testing/SKILL.md
100,100_multi-server-testing,multi-server-testing,Multi-server Integration Testing,infrastructure,100_multi-server-testing/SKILL.md
